date,lottery_number,zodiac
8/16/2008,36,Capricorn
8/1/2008,11,Capricorn
7/16/2008,41,Capricorn
7/1/2008,50,Capricorn
6/16/2008,75,Capricorn
6/1/2008,35,Capricorn
5/16/2008,69,Capricorn
5/2/2008,62,Capricorn
4/16/2008,64,Capricorn
4/1/2008,71,Capricorn
3/16/2008,33,Capricorn
3/1/2008,5,Capricorn
2/16/2008,80,Capricorn
2/1/2008,26,Capricorn
1/16/2008,81,Capricorn
12/30/2007,81,Capricorn
12/16/2007,96,Capricorn
12/1/2007,18,Sagittarius
11/16/2007,73,Sagittarius
11/1/2007,88,Sagittarius
10/16/2007,48,Sagittarius
10/1/2007,76,Sagittarius
9/16/2007,45,Sagittarius
9/1/2007,69,Sagittarius
8/16/2007,93,Sagittarius
8/1/2007,29,Sagittarius
7/16/2007,77,Sagittarius
7/1/2007,76,Sagittarius
6/16/2007,41,Sagittarius
6/1/2007,5,Sagittarius
5/16/2007,25,Sagittarius
5/2/2007,81,Sagittarius
4/16/2007,63,Sagittarius
4/1/2007,93,Sagittarius
3/16/2007,85,Sagittarius
3/1/2007,61,Sagittarius
2/16/2007,95,Sagittarius
2/1/2007,56,Sagittarius
1/16/2007,55,Sagittarius
12/30/2006,7,Sagittarius
12/16/2006,45,Sagittarius
12/1/2006,12,Sagittarius
11/16/2006,94,Scorpio
11/1/2006,29,Scorpio
10/16/2006,58,Scorpio
10/1/2006,92,Scorpio
9/16/2006,41,Scorpio
9/1/2006,44,Scorpio
8/16/2006,91,Scorpio
8/1/2006,88,Scorpio
7/16/2006,48,Scorpio
7/1/2006,65,Scorpio
6/16/2006,17,Scorpio
6/1/2006,99,Scorpio
5/16/2006,71,Scorpio
5/2/2006,27,Scorpio
4/16/2006,49,Scorpio
4/1/2006,95,Scorpio
3/16/2006,30,Scorpio
3/1/2006,43,Scorpio
2/16/2006,66,Scorpio
2/1/2006,87,Scorpio
1/16/2006,79,Scorpio
12/30/2005,94,Scorpio
12/16/2005,86,Scorpio
12/1/2005,17,Scorpio
11/16/2005,80,Scorpio
11/1/2005,98,Scorpio
10/16/2005,71,Libra
10/1/2005,24,Libra
9/16/2005,10,Libra
9/1/2005,17,Libra
8/16/2005,68,Libra
8/1/2005,26,Libra
7/16/2005,13,Libra
7/1/2005,87,Libra
6/16/2005,44,Libra
6/1/2005,35,Libra
5/16/2005,97,Libra
5/2/2005,43,Libra
4/16/2005,10,Libra
4/1/2005,69,Libra
3/16/2005,3,Libra
3/1/2005,93,Libra
2/16/2005,53,Libra
2/1/2005,34,Libra
1/16/2005,8,Libra
12/30/2004,28,Libra
12/16/2004,17,Libra
12/1/2004,69,Libra
11/16/2004,64,Libra
11/1/2004,23,Libra
10/16/2004,62,Libra
10/1/2004,66,Libra
9/16/2004,59,Virgo
9/1/2004,70,Virgo
8/16/2004,59,Virgo
8/2/2004,45,Virgo
7/16/2004,25,Virgo
7/1/2004,66,Virgo
6/16/2004,87,Virgo
6/1/2004,72,Virgo
5/16/2004,13,Virgo
5/2/2004,91,Virgo
4/16/2004,12,Virgo
4/1/2004,62,Virgo
3/16/2004,69,Virgo
3/1/2004,50,Virgo
2/16/2004,0,Virgo
2/1/2004,77,Virgo
1/16/2004,96,Virgo
12/30/2003,64,Virgo
12/16/2003,87,Virgo
12/1/2003,78,Virgo
11/16/2003,68,Virgo
11/1/2003,47,Virgo
10/16/2003,3,Virgo
10/1/2003,43,Virgo
9/16/2003,53,Virgo
9/1/2003,92,Virgo
8/16/2003,0,Leo
8/1/2003,91,Leo
7/16/2003,75,Leo
7/1/2003,91,Leo
6/16/2003,29,Leo
6/1/2003,36,Leo
5/16/2003,20,Leo
5/2/2003,12,Leo
4/16/2003,21,Leo
4/1/2003,86,Leo
3/16/2003,64,Leo
3/1/2003,42,Leo
2/17/2003,61,Leo
2/1/2003,94,Leo
1/16/2003,6,Leo
12/30/2002,95,Leo
12/16/2002,67,Leo
12/1/2002,37,Leo
11/16/2002,55,Leo
11/1/2002,25,Leo
10/16/2002,51,Leo
10/1/2002,72,Leo
9/16/2002,85,Leo
9/1/2002,51,Leo
8/16/2002,57,Leo
8/1/2002,88,Leo
7/16/2002,69,Cancer
7/1/2002,24,Cancer
6/16/2002,7,Cancer
6/1/2002,2,Cancer
5/16/2002,76,Cancer
5/2/2002,56,Cancer
4/16/2002,37,Cancer
4/1/2002,57,Cancer
3/16/2002,4,Cancer
3/1/2002,55,Cancer
2/16/2002,92,Cancer
2/1/2002,40,Cancer
1/16/2002,14,Cancer
12/30/2001,64,Cancer
12/16/2001,19,Cancer
12/1/2001,49,Cancer
11/16/2001,74,Cancer
11/1/2001,52,Cancer
10/16/2001,48,Cancer
10/1/2001,15,Cancer
9/16/2001,82,Cancer
9/1/2001,14,Cancer
8/16/2001,10,Cancer
8/1/2001,11,Cancer
7/16/2001,50,Cancer
7/1/2001,34,Gemini
6/16/2001,75,Gemini
6/1/2001,80,Gemini
5/16/2001,61,Gemini
5/2/2001,64,Gemini
4/16/2001,28,Gemini
4/1/2001,49,Gemini
3/16/2001,45,Gemini
3/1/2001,85,Gemini
2/16/2001,47,Gemini
2/1/2001,13,Gemini
1/16/2001,36,Gemini
12/30/2000,31,Gemini
12/16/2000,91,Gemini
12/1/2000,56,Gemini
11/16/2000,10,Gemini
11/1/2000,90,Gemini
10/16/2000,39,Gemini
10/1/2000,26,Gemini
9/16/2000,5,Gemini
9/1/2000,52,Gemini
8/16/2000,57,Gemini
8/1/2000,18,Gemini
7/16/2000,43,Gemini
7/1/2000,29,Gemini
6/16/2000,57,Taurus
6/1/2000,16,Taurus
5/16/2000,56,Taurus
5/2/2000,20,Taurus
4/16/2000,63,Taurus
4/1/2000,99,Taurus
3/16/2000,65,Taurus
3/1/2000,63,Taurus
2/16/2000,91,Taurus
2/1/2000,85,Aries
1/16/2000,82,Aries
12/30/1999,3,Aries
12/16/1999,30,Aries
12/1/1999,79,Aries
11/16/1999,14,Aries
11/1/1999,3,Aries
10/16/1999,28,Taurus
10/1/1999,80,Taurus
9/16/1999,46,Taurus
9/1/1999,33,Taurus
8/16/1999,65,Taurus
8/1/1999,98,Taurus
7/16/1999,3,Taurus
7/1/1999,67,Taurus
6/16/1999,63,Aries
6/1/1999,8,Aries
5/16/1999,16,Aries
5/2/1999,45,Aries
4/16/1999,35,Aries
4/1/1999,92,Aries
3/16/1999,63,Aries
3/2/1999,58,Aries
2/16/1999,41,Aries
2/1/1999,69,Pisces
1/16/1999,13,Pisces
12/30/1998,50,Pisces
12/16/1998,55,Pisces
12/1/1998,58,Pisces
11/16/1998,20,Pisces
11/1/1998,29,Pisces
10/16/1998,74,Pisces
10/1/1998,18,Pisces
9/16/1998,65,Pisces
9/1/1998,96,Pisces
8/16/1998,91,Pisces
8/1/1998,22,Pisces
7/16/1998,52,Pisces
7/1/1998,65,Pisces
6/16/1998,19,Pisces
6/1/1998,67,Pisces
5/16/1998,63,Pisces
5/2/1998,72,Pisces
4/16/1998,17,Pisces
4/1/1998,66,Pisces
3/16/1998,79,Pisces
3/1/1998,74,Pisces
2/16/1998,69,Pisces
2/1/1998,48,Aquarius
1/16/1998,34,Aquarius
12/30/1997,65,Aquarius
12/16/1997,71,Aquarius
12/1/1997,86,Aquarius
11/16/1997,99,Aquarius
11/1/1997,39,Aquarius
10/16/1997,98,Aquarius
10/1/1997,24,Aquarius
9/16/1997,98,Aquarius
9/1/1997,59,Aquarius
8/16/1997,30,Aquarius
8/1/1997,31,Aquarius
7/16/1997,67,Aquarius
7/1/1997,11,Aquarius
6/16/1997,61,Aquarius
6/1/1997,24,Aquarius
5/16/1997,52,Aquarius
5/2/1997,38,Aquarius
4/16/1997,92,Aquarius
4/1/1997,52,Aquarius
3/16/1997,36,Aquarius
3/1/1997,98,Aquarius
2/16/1997,94,Aquarius
2/1/1997,57,Aquarius
1/16/1997,47,Capricorn
12/30/1996,26,Capricorn
12/16/1996,44,Capricorn
12/1/1996,66,Capricorn
11/16/1996,21,Capricorn
11/1/1996,24,Capricorn
10/16/1996,18,Capricorn
10/1/1996,97,Capricorn
9/16/1996,59,Capricorn
9/1/1996,2,Capricorn
8/16/1996,19,Capricorn
8/1/1996,61,Capricorn
7/16/1996,91,Capricorn
7/1/1996,76,Capricorn
6/16/1996,21,Capricorn
6/1/1996,81,Capricorn
5/17/1996,75,Capricorn
5/2/1996,54,Capricorn
4/16/1996,77,Capricorn
4/1/1996,90,Capricorn
3/16/1996,27,Capricorn
3/1/1996,72,Capricorn
2/16/1996,49,Capricorn
2/1/1996,26,Capricorn
1/16/1996,21,Capricorn
12/30/1995,4,Sagittarius
12/16/1995,68,Sagittarius
12/1/1995,74,Sagittarius
11/16/1995,85,Sagittarius
11/1/1995,7,Sagittarius
10/16/1995,86,Sagittarius
10/1/1995,76,Sagittarius
9/16/1995,51,Sagittarius
9/1/1995,83,Sagittarius
8/16/1995,51,Sagittarius
8/1/1995,59,Sagittarius
7/16/1995,96,Sagittarius
7/1/1995,19,Sagittarius
6/16/1995,82,Sagittarius
6/1/1995,17,Sagittarius
5/17/1995,55,Sagittarius
5/2/1995,88,Sagittarius
4/16/1995,99,Sagittarius
4/1/1995,6,Sagittarius
3/16/1995,67,Sagittarius
3/1/1995,71,Sagittarius
2/16/1995,95,Sagittarius
2/1/1995,48,Sagittarius
1/16/1995,40,Sagittarius
12/30/1994,90,Sagittarius
12/16/1994,50,Sagittarius
12/1/1994,2,Scorpio
11/16/1994,82,Scorpio
11/1/1994,76,Scorpio
10/16/1994,79,Scorpio
10/1/1994,23,Scorpio
9/16/1994,88,Scorpio
9/1/1994,67,Scorpio
8/16/1994,28,Scorpio
