date,lottery_number
7/16/1998,52
7/1/1998,65
6/16/1998,19
6/1/1998,67
5/16/1998,63
5/2/1998,72
4/16/1998,17
4/1/1998,66
3/16/1998,79
3/1/1998,74
2/16/1998,69
2/1/1998,48
1/16/1998,34
12/30/1997,65
12/16/1997,71
12/1/1997,86
11/16/1997,99
11/1/1997,39
10/16/1997,98
10/1/1997,24
9/16/1997,98
9/1/1997,59
8/16/1997,30
8/1/1997,31
7/16/1997,67
7/1/1997,11
6/16/1997,61
6/1/1997,24
5/16/1997,52
5/2/1997,38
4/16/1997,92
4/1/1997,52
3/16/1997,36
3/1/1997,98
2/16/1997,94
2/1/1997,57
1/16/1997,47
12/30/1996,26
12/16/1996,44
12/1/1996,66
11/16/1996,21
11/1/1996,24
10/16/1996,18
10/1/1996,97
9/16/1996,59
9/1/1996,2
8/16/1996,19
8/1/1996,61
7/16/1996,91
7/1/1996,76
6/16/1996,21
6/1/1996,81
5/17/1996,75
5/2/1996,54
4/16/1996,77
4/1/1996,90
3/16/1996,27
3/1/1996,72
2/16/1996,49
2/1/1996,26
1/16/1996,21
12/30/1995,4
12/16/1995,68
12/1/1995,74
11/16/1995,85
11/1/1995,7
10/16/1995,86
10/1/1995,76
9/16/1995,51
9/1/1995,83
8/16/1995,51
8/1/1995,59
7/16/1995,96
7/1/1995,19
6/16/1995,82
6/1/1995,17
5/17/1995,55
5/2/1995,88
4/16/1995,99
4/1/1995,6
3/16/1995,67
3/1/1995,71
2/16/1995,95
2/1/1995,48
1/16/1995,40
12/30/1994,90
12/16/1994,50
12/1/1994,2
11/16/1994,82
11/1/1994,76
10/16/1994,79
10/1/1994,23
9/16/1994,88
9/1/1994,67
8/16/1994,28
8/1/1994,85
7/16/1994,74
7/1/1994,39
6/16/1994,53
6/1/1994,17
5/16/1994,29
5/2/1994,69
4/16/1994,21
4/1/1994,29
3/16/1994,19
3/1/1994,41
2/16/1994,76
2/1/1994,5
1/16/1994,23
12/30/1993,72
12/16/1993,69
12/1/1993,98
11/16/1993,82
11/1/1993,94
10/16/1993,58
10/1/1993,26
9/16/1993,11
9/1/1993,0
8/16/1993,86
8/1/1993,6
7/16/1993,21
7/1/1993,29
6/16/1993,39
6/1/1993,61
5/16/1993,53
5/2/1993,99
4/16/1993,9
4/1/1993,89
3/16/1993,98
3/1/1993,19
2/16/1993,41
2/1/1993,21
1/16/1993,25
12/30/1992,23
12/16/1992,92
12/1/1992,65
11/16/1992,45
11/1/1992,35
10/16/1992,79
10/1/1992,71
9/16/1992,88
9/1/1992,68
8/16/1992,91
8/1/1992,86
7/16/1992,87
7/1/1992,56
6/16/1992,92
6/1/1992,29
5/16/1992,59
5/2/1992,86
4/16/1992,10
4/1/1992,3
3/16/1992,48
3/1/1992,60
2/16/1992,94
2/1/1992,63
1/16/1992,18
12/30/1991,76
12/16/1991,88
12/1/1991,5
11/16/1991,8
11/1/1991,78
10/16/1991,38
10/1/1991,96
9/16/1991,18
9/1/1991,49
8/16/1991,89
8/1/1991,11
7/16/1991,62
7/1/1991,58
6/16/1991,91
6/1/1991,77
5/16/1991,63
5/2/1991,63
4/16/1991,57
4/1/1991,3
3/16/1991,59
3/1/1991,72
2/16/1991,33
2/1/1991,75
1/16/1991,29
12/30/1990,5
12/16/1990,21
12/1/1990,88
11/16/1990,6
11/1/1990,82
10/16/1990,56
10/1/1990,37
9/16/1990,55
9/1/1990,83
8/16/1990,43
8/1/1990,92
7/16/1990,11
7/1/1990,43
6/16/1990,65
6/1/1990,72
5/16/1990,34
5/2/1990,1
4/16/1990,84
4/1/1990,39
3/16/1990,88
3/1/1990,15
2/16/1990,1
2/1/1990,82
1/16/1990,97
