date,lottery_number,prime_minister
2016-06-01,14,Prayut Chan-o-cha
2016-05-16,98,Prayut Chan-o-cha
2016-05-02,2,Prayut Chan-o-cha
2016-08-01,57,Prayut Chan-o-cha
2016-07-16,55,Prayut Chan-o-cha
2016-07-01,53,Prayut Chan-o-cha
2016-06-16,79,Prayut Chan-o-cha
2016-06-01,14,Prayut Chan-o-cha
2016-05-16,98,Prayut Chan-o-cha
2016-05-02,2,Prayut Chan-o-cha
2016-04-16,87,Prayut Chan-o-cha
2016-04-01,92,Prayut Chan-o-cha
2016-03-16,32,Prayut Chan-o-cha
2016-03-01,6,Prayut Chan-o-cha
2016-02-16,98,Prayut Chan-o-cha
2016-02-01,9,Prayut Chan-o-cha
2016-01-17,50,Prayut Chan-o-cha
2015-12-30,2,Prayut Chan-o-cha
2015-12-17,8,Prayut Chan-o-cha
2015-12-01,78,Prayut Chan-o-cha
2015-11-16,3,Prayut Chan-o-cha
2015-11-01,45,Prayut Chan-o-cha
2015-10-16,62,Prayut Chan-o-cha
2015-10-01,7,Prayut Chan-o-cha
2015-09-16,6,Prayut Chan-o-cha
2015-09-01,89,Prayut Chan-o-cha
2015-08-16,40,Prayut Chan-o-cha
2015-08-01,53,Prayut Chan-o-cha
2015-07-16,49,Prayut Chan-o-cha
2015-07-01,26,Prayut Chan-o-cha
2015-06-16,5,Prayut Chan-o-cha
2015-06-02,65,Prayut Chan-o-cha
2015-05-16,38,Prayut Chan-o-cha
2015-05-02,30,Prayut Chan-o-cha
2015-04-16,38,Prayut Chan-o-cha
2015-04-01,70,Prayut Chan-o-cha
2015-03-16,92,Prayut Chan-o-cha
2015-03-01,34,Prayut Chan-o-cha
2015-02-16,90,Prayut Chan-o-cha
2015-02-01,79,Prayut Chan-o-cha
2015-01-16,74,Prayut Chan-o-cha
