date,lottery_number,prime_minister
8/1/2011,12,Abhisit
7/16/2011,12,Abhisit
7/1/2011,51,Abhisit
6/16/2011,88,Abhisit
6/1/2011,46,Abhisit
5/16/2011,5,Abhisit
5/2/2011,85,Abhisit
4/16/2011,44,Abhisit
4/1/2011,1,Abhisit
3/16/2011,96,Abhisit
3/1/2011,97,Abhisit
2/16/2011,27,Abhisit
2/1/2011,55,Abhisit
1/16/2011,23,Abhisit
12/30/2010,49,Abhisit
12/16/2010,24,Abhisit
12/1/2010,9,Abhisit
11/16/2010,43,Abhisit
11/1/2010,59,Abhisit
10/16/2010,42,Abhisit
10/1/2010,2,Abhisit
9/16/2010,66,Abhisit
9/1/2010,11,Abhisit
8/16/2010,64,Abhisit
8/1/2010,10,Abhisit
7/16/2010,34,Abhisit
7/1/2010,68,Abhisit
6/16/2010,73,Abhisit
6/1/2010,81,Abhisit
5/16/2010,12,Abhisit
5/2/2010,6,Abhisit
4/16/2010,96,Abhisit
4/1/2010,22,Abhisit
3/16/2010,97,Abhisit
3/1/2010,97,Abhisit
2/16/2010,3,Abhisit
2/1/2010,14,Abhisit
1/16/2010,67,Abhisit
12/30/2009,87,Abhisit
12/16/2009,5,Abhisit
12/1/2009,59,Abhisit
11/16/2009,58,Abhisit
11/1/2009,85,Abhisit
10/16/2009,0,Abhisit
10/1/2009,6,Abhisit
9/16/2009,48,Abhisit
9/1/2009,32,Abhisit
8/16/2009,96,Abhisit
8/1/2009,92,Abhisit
7/16/2009,94,Abhisit
7/1/2009,66,Abhisit
6/16/2009,15,Abhisit
6/1/2009,26,Abhisit
5/16/2009,54,Abhisit
5/2/2009,11,Abhisit
4/16/2009,33,Abhisit
4/1/2009,50,Abhisit
3/16/2009,36,Abhisit
3/1/2009,67,Abhisit
2/16/2009,93,Abhisit
2/1/2009,69,Abhisit
1/16/2009,25,Abhisit
12/30/2008,22,Abhisit
12/16/2008,25,Somchai
12/1/2008,5,Somchai
11/16/2008,20,Somchai
11/1/2008,76,Somchai
10/16/2008,98,Somchai
10/1/2008,67,Somchai
9/16/2008,56,Somchai
9/1/2008,9,Samak
8/16/2008,36,Samak
8/1/2008,11,Samak
7/16/2008,41,Samak
7/1/2008,50,Samak
6/16/2008,75,Samak
6/1/2008,35,Samak
5/16/2008,69,Samak
5/2/2008,62,Samak
4/16/2008,64,Samak
4/1/2008,71,Samak
3/16/2008,33,Samak
3/1/2008,5,Samak
2/16/2008,80,Samak
2/1/2008,26,Samak
1/16/2008,81,Samak
12/30/2007,81,Surayud
12/16/2007,96,Surayud
12/1/2007,18,Surayud
11/16/2007,73,Surayud
11/1/2007,88,Surayud
10/16/2007,48,Surayud
10/1/2007,76,Surayud
9/16/2007,45,Surayud
9/1/2007,69,Surayud
8/16/2007,93,Surayud
8/1/2007,29,Surayud
7/16/2007,77,Surayud
7/1/2007,76,Surayud
6/16/2007,41,Surayud
6/1/2007,5,Surayud
