prob_threshold,pixel_threshold,TP,FP,FN,TN,sensitivity,PPV,specificity,F1
0.3,2200,55,88,0,56,1.0,0.3846,0.3889,0.5556
0.3,2300,55,87,0,57,1.0,0.3873,0.3958,0.5584
0.3,2400,55,84,0,60,1.0,0.3957,0.4167,0.567
0.3,2500,55,82,0,62,1.0,0.4015,0.4306,0.5729
0.3,2600,55,80,0,64,1.0,0.4074,0.4444,0.5789
0.3,2700,55,78,0,66,1.0,0.4135,0.4583,0.5851
0.3,2800,55,73,0,71,1.0,0.4297,0.4931,0.6011
0.3,2900,55,72,0,72,1.0,0.4331,0.5,0.6044
0.3,3000,55,69,0,75,1.0,0.4435,0.5208,0.6145
0.3,3100,54,68,1,76,0.9818,0.4426,0.5278,0.6102
0.3,3200,54,66,1,78,0.9818,0.45,0.5417,0.6171
0.3,3300,54,61,1,83,0.9818,0.4696,0.5764,0.6353
0.3,3400,54,59,1,85,0.9818,0.4779,0.5903,0.6429
0.3,3500,53,58,2,86,0.9636,0.4775,0.5972,0.6386
0.3,3600,53,57,2,87,0.9636,0.4818,0.6042,0.6424
0.3,3700,51,54,4,90,0.9273,0.4857,0.625,0.6375
0.3,3800,51,51,4,93,0.9273,0.5,0.6458,0.6497
0.3,3900,51,50,4,94,0.9273,0.505,0.6528,0.6538
0.3,4000,51,47,4,97,0.9273,0.5204,0.6736,0.6667
0.3,4100,51,44,4,100,0.9273,0.5368,0.6944,0.68
0.3,4200,51,42,4,102,0.9273,0.5484,0.7083,0.6892
0.3,4300,51,37,4,107,0.9273,0.5795,0.7431,0.7133
0.3,4400,51,34,4,110,0.9273,0.6,0.7639,0.7286
0.3,4500,50,31,5,113,0.9091,0.6173,0.7847,0.7353
0.3,4600,49,31,6,113,0.8909,0.6125,0.7847,0.7259
0.3,4700,48,29,7,115,0.8727,0.6234,0.7986,0.7273
0.3,4800,46,28,9,116,0.8364,0.6216,0.8056,0.7132
0.3,4900,46,27,9,117,0.8364,0.6301,0.8125,0.7188
0.3,5000,46,24,9,120,0.8364,0.6571,0.8333,0.736
0.4,0,55,121,0,23,1.0,0.3125,0.1597,0.4762
0.4,100,55,116,0,28,1.0,0.3216,0.1944,0.4867
0.4,200,55,112,0,32,1.0,0.3293,0.2222,0.4955
0.4,300,55,110,0,34,1.0,0.3333,0.2361,0.5
0.4,400,55,110,0,34,1.0,0.3333,0.2361,0.5
0.4,500,55,108,0,36,1.0,0.3374,0.25,0.5046
0.4,600,55,106,0,38,1.0,0.3416,0.2639,0.5093
0.4,700,55,103,0,41,1.0,0.3481,0.2847,0.5164
0.4,800,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.4,900,55,102,0,42,1.0,0.3503,0.2917,0.5189
0.4,1000,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.4,1100,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.4,1200,55,98,0,46,1.0,0.3595,0.3194,0.5288
0.4,1300,55,94,0,50,1.0,0.3691,0.3472,0.5392
0.4,1400,55,93,0,51,1.0,0.3716,0.3542,0.5419
0.4,1500,55,92,0,52,1.0,0.3741,0.3611,0.5446
0.4,1600,55,89,0,55,1.0,0.3819,0.3819,0.5528
0.4,1700,55,89,0,55,1.0,0.3819,0.3819,0.5528
0.4,1800,55,85,0,59,1.0,0.3929,0.4097,0.5641
0.4,1900,55,84,0,60,1.0,0.3957,0.4167,0.567
0.4,2000,55,81,0,63,1.0,0.4044,0.4375,0.5759
0.4,2100,55,80,0,64,1.0,0.4074,0.4444,0.5789
0.4,2200,55,77,0,67,1.0,0.4167,0.4653,0.5882
0.4,2300,55,70,0,74,1.0,0.44,0.5139,0.6111
0.4,2400,55,67,0,77,1.0,0.4508,0.5347,0.6215
0.4,2500,54,64,1,80,0.9818,0.4576,0.5556,0.6243
0.4,2600,54,64,1,80,0.9818,0.4576,0.5556,0.6243
0.4,2700,54,62,1,82,0.9818,0.4655,0.5694,0.6316
0.4,2800,54,60,1,84,0.9818,0.4737,0.5833,0.6391
0.4,2900,54,59,1,85,0.9818,0.4779,0.5903,0.6429
0.4,3000,54,55,1,89,0.9818,0.4954,0.6181,0.6585
0.4,3100,53,53,2,91,0.9636,0.5,0.6319,0.6584
0.4,3200,52,49,3,95,0.9455,0.5149,0.6597,0.6667
